REGION,C_REGION,DISTRITO,C_DISTRITO,COMUNA,C_COMUNA
DE ARICA Y PARINACOTA,3015,DISTRITO 1,6001,ARICA,2822
DE ARICA Y PARINACOTA,3015,DISTRITO 1,6001,CAMARONES,2823
DE ARICA Y PARINACOTA,3015,DISTRITO 1,6001,GENERAL LAGOS,2825
DE ARICA Y PARINACOTA,3015,DISTRITO 1,6001,PUTRE,2824
DE TARAPACA,3001,DISTRITO 2,6002,ALTO HOSPICIO,2502
DE TARAPACA,3001,DISTRITO 2,6002,CAMIÑA,2504
DE TARAPACA,3001,DISTRITO 2,6002,COLCHANE,2505
DE TARAPACA,3001,DISTRITO 2,6002,HUARA,2506
DE TARAPACA,3001,DISTRITO 2,6002,IQUIQUE,2501
DE TARAPACA,3001,DISTRITO 2,6002,PICA,2507
DE TARAPACA,3001,DISTRITO 2,6002,POZO ALMONTE,2503
DE ANTOFAGASTA,3002,DISTRITO 3,6003,ANTOFAGASTA,2508
DE ANTOFAGASTA,3002,DISTRITO 3,6003,CALAMA,2512
DE ANTOFAGASTA,3002,DISTRITO 3,6003,MARIA ELENA,2516
DE ANTOFAGASTA,3002,DISTRITO 3,6003,MEJILLONES,2509
DE ANTOFAGASTA,3002,DISTRITO 3,6003,OLLAGUE,2513
DE ANTOFAGASTA,3002,DISTRITO 3,6003,SAN PEDRO DE ATACAMA,2514
DE ANTOFAGASTA,3002,DISTRITO 3,6003,SIERRA GORDA,2510
DE ANTOFAGASTA,3002,DISTRITO 3,6003,TALTAL,2511
DE ANTOFAGASTA,3002,DISTRITO 3,6003,TOCOPILLA,2515
DE ATACAMA,3003,DISTRITO 4,6004,ALTO DEL CARMEN,2523
DE ATACAMA,3003,DISTRITO 4,6004,CALDERA,2518
DE ATACAMA,3003,DISTRITO 4,6004,CHAÑARAL,2520
DE ATACAMA,3003,DISTRITO 4,6004,COPIAPO,2517
DE ATACAMA,3003,DISTRITO 4,6004,DIEGO DE ALMAGRO,2521
DE ATACAMA,3003,DISTRITO 4,6004,FREIRINA,2524
DE ATACAMA,3003,DISTRITO 4,6004,HUASCO,2525
DE ATACAMA,3003,DISTRITO 4,6004,TIERRA AMARILLA,2519
DE ATACAMA,3003,DISTRITO 4,6004,VALLENAR,2522
DE COQUIMBO,3004,DISTRITO 5,6005,ANDACOLLO,2528
DE COQUIMBO,3004,DISTRITO 5,6005,CANELA,2533
DE COQUIMBO,3004,DISTRITO 5,6005,COMBARBALA,2537
DE COQUIMBO,3004,DISTRITO 5,6005,COQUIMBO,2527
DE COQUIMBO,3004,DISTRITO 5,6005,ILLAPEL,2532
DE COQUIMBO,3004,DISTRITO 5,6005,LA HIGUERA,2529
DE COQUIMBO,3004,DISTRITO 5,6005,LA SERENA,2526
DE COQUIMBO,3004,DISTRITO 5,6005,LOS VILOS,2534
DE COQUIMBO,3004,DISTRITO 5,6005,MONTE PATRIA,2538
DE COQUIMBO,3004,DISTRITO 5,6005,OVALLE,2536
DE COQUIMBO,3004,DISTRITO 5,6005,PAIHUANO,2530
DE COQUIMBO,3004,DISTRITO 5,6005,PUNITAQUI,2539
DE COQUIMBO,3004,DISTRITO 5,6005,RIO HURTADO,2540
DE COQUIMBO,3004,DISTRITO 5,6005,SALAMANCA,2535
DE COQUIMBO,3004,DISTRITO 5,6005,VICUÑA,2531
DE VALPARAISO,3005,DISTRITO 6,6006,CABILDO,2554
DE VALPARAISO,3005,DISTRITO 6,6006,CALERA,2559
DE VALPARAISO,3005,DISTRITO 6,6006,CALLE LARGA,2550
